code,id,name,domain,sign,notprintable,parent_id:id,,,
root,atctn_root,Gravamenes,,,,,,,
R-IVA,atctn_r_iva,Retenciones sobre el Impuesto al Valor Aggregado,iva,,,atctn_root,,,
R-IVA >>,atctn_r_iva_e,Retenciones practicadas por el ente,,,,atctn_r_iva,,,
R-IVA >> 15*16,atctn_r_iva_e_0240,Retenciones >> 0.15*0.16 = 0.024,,,,atctn_r_iva_e,,,
R-IVA >> 15*16 - RC,atctn_r_iva_e_0240_rc,Retenciones >> 0.15*0.16 = 0.024 - regimen commun,,,,atctn_r_iva_e_0240,,,
R-IVA >> 15*16 - RS,atctn_r_iva_e_0240_rs,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado,,,,atctn_r_iva_e_0240,,,
R-IVA >> 05*16,atctn_r_iva_e_0075,Retenciones >> 0.05*0.16 = 0.0075,,,,atctn_r_iva_e,,,
R-IVA >> 05*16 - RC,atctn_r_iva_e_0075_rc,Retenciones >> 0.05*0.16 = 0.0075 - regimen commun,,,,atctn_r_iva_e_0075,,,
R-IVA >> 05*16 - RS,atctn_r_iva_e_0075_rs,Retenciones >> 0.05*0.16 = 0.0075 - regimen simplificado,,,,atctn_r_iva_e_0075,,,
R-IVA >> 16,atctn_r_iva_e_1600,Retenciones >> 1.00*0.16 = 0.16 - servicio nacional de un no domiciliado,,,,atctn_r_iva_e,,,
R-IVA <<,atctn_r_iva_t,Retenciones practicadas por el tercero,,,,atctn_r_iva,,,
R-IVA << 15*16,atctn_r_iva_t_0240,Retenciones << 0.15*0.16 = 0.024,,,,atctn_r_iva_t,,,
R-IVA << 05*16,atctn_r_iva_t_0075,Retenciones << 0.05*0.16 = 0.0075,,,,atctn_r_iva_t,,,
IVA,atctn_iva,Impuesto al Valor Agregado,iva,,,atctn_root,,,
CERV,atctn_iva_cerv,Juego de suerte y azar,iva,,,atctn_iva,,,
CERV-base,atctn_iva_cerv_B,Juego de suerte y azar - BASE,iva,,,atctn_iva_cerv,,,
CERV-valor,atctn_iva_cerv_V,Juego de suerte y azar - VALOR,iva,,,atctn_iva_cerv,,,
CERV-dev-base,atctn_iva_cerv_DB,Juego de suerte y azar - DEVOLUCION BASE,iva,,,atctn_iva_cerv,,,
CERV-dev-valor,atctn_iva_cerv_DV,Juego de suerte y azar - DEVOLUCION VALOR,iva,,,atctn_iva_cerv,,,
AZAR,atctn_iva_azar,Cerveza importada o nacional,iva,,,atctn_iva,,,
AZAR-base,atctn_iva_azar_B,Cerveza importada o nacional - BASE,iva,,,atctn_iva_azar,,,
AZAR-valor,atctn_iva_azar_V,Cerveza importada o nacional - VALOR,iva,,,atctn_iva_azar,,,
AZAR-dev-base,atctn_iva_azar_DB,Cerveza importada o nacional - DEVOLUCION BASE,iva,,,atctn_iva_azar,,,
AZAR-dev-valor,atctn_iva_azar_DV,Cerveza importada o nacional - DEVOLUCION VALOR,iva,,,atctn_iva_azar,,,
AIU,atctn_iva_aiu,A.I.U. operaciones gravadas con base especial,iva,,,atctn_iva,,,
AIU-base,atctn_iva_aiu_B,A.I.U. operaciones gravadas con base especial - BASE,iva,,,atctn_iva_aiu,,,
AIU-valor,atctn_iva_aiu_V,A.I.U. operaciones gravadas con base especial - VALOR,iva,,,atctn_iva_aiu,,,
