id,domain,description,chart_template_id:id,type_tax_use,name,sequence,amount,parent_id:id,child_depend,price_include,type,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,base_sign,tax_sign
tax_iinc_04sv,inc,inc.04s >>,,Sale,INC 4% SERVICIO,,0.04,,,,percent,,,atctn_inc_04_S_B,atctn_inc_04_S_V,atctn_inc_04_S_DB,atctn_inc_04_S_DV,-1,-1,1,1
tax_iinc_08sv,inc,inc.08s >>,,Sale,INC 8% BIEN,,0.08,,,,percent,,,atctn_inc_08_B_B,atctn_inc_08_B_V,atctn_inc_08_B_DB,atctn_inc_08_B_DV,-1,-1,1,1
tax_iinc_08bv,inc,inc.08b >>,,Sale,INC 8% SERVICIO,,0.08,,,,percent,,,atctn_inc_08_S_B,atctn_inc_08_S_V,atctn_inc_08_S_DB,atctn_inc_08_S_DV,-1,-1,1,1
tax_iinc_16sv,inc,inc.16s >>,,Sale,INC 16% BIEN,,0.16,,,,percent,,,atctn_inc_16_B_B,atctn_inc_16_B_V,atctn_inc_16_B_DB,atctn_inc_16_B_DV,-1,-1,1,1
tax_iinc_16bv,inc,inc.16b >>,,Sale,INC 16% SERVICIO,,0.16,,,,percent,,,atctn_inc_16_S_B,atctn_inc_16_S_V,atctn_inc_16_S_DB,atctn_inc_16_S_DV,-1,-1,1,1
tax_iinc_04sc,inc,inc.04s <<,,Purchase,INC 4% SERVICIO,,0.04,,,,,,,,,,,,,,
tax_iinc_08sc,inc,inc.08s <<,,Purchase,INC 8% BIEN,,0.08,,,,,,,,,,,,,,
tax_iinc_08bc,inc,inc.08b <<,,Purchase,INC 8% SERVICIO,,0.08,,,,,,,,,,,,,,
tax_iinc_16sc,inc,inc.16s <<,,Purchase,INC 16% BIEN,,0.16,,,,,,,,,,,,,,
tax_iinc_16bc,inc,inc.16b <<,,Purchase,INC 16% SERVICIO,,0.16,,,,,,,,,,,,,,
tax_iinc_08bc_IMP,inc,inc.08b << IMP,,Purchase,INC 8% BIEN IMPORT,,0.08,,,,,,,atctn_inc_08_IMP_B,atctn_inc_08_IMP_V,atctn_inc_08_IMP_DB,atctn_inc_08_IMP_DV,-1,-1,1,1
tax_iinc_16bc_IMP,inc,inc.16b << IMP,,Purchase,INC 16% BIEN IMPORT,,0.16,,,,,,,atctn_inc_16_IMP_B,atctn_inc_16_IMP_V,atctn_inc_16_IMP_DB,atctn_inc_16_IMP_DV,-1,-1,1,1
tax_arcree_004v,ar_cree,cree.004 >>,,Sale,CREE 4 ‰,,1,,TRUE,,,,,,,,,,,,
tax_arcree_004v_AR,ar_cree,cree.004 >>,,Sale,CREE 4 ‰ AUTORRETENCION,,-0.004,tax_arcree_004v,,,,,,atctn_r_cree_0004_B,atctn_r_cree_0004_V,atctn_r_cree_0004_DB,atctn_r_cree_0004_DV,-1,-1,1,1
tax_arcree_004v_CP,ar_cree,cree.004 >>,,Sale,CREE 4 ‰ CONTRAPARTIDA,,0.004,tax_arcree_004v,,,,,,,,,,,,,
tax_arcree_008v,ar_cree,cree.008 >>,,Sale,CREE 8 ‰,,1,,TRUE,,,,,,,,,,,,
tax_arcree_008v_AR,ar_cree,cree.008 >>,,Sale,CREE 8 ‰ AUTORRETENCION,,-0.008,tax_arcree_008v,,,,,,atctn_r_cree_0008_B,atctn_r_cree_0008_V,atctn_r_cree_0008_DB,atctn_r_cree_0008_DV,-1,-1,1,1
