name,id,code,parent_id:id
CIIU Rev 4. A.C. (DANE),ciiu_root,root,
"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",ciiu_A,A,ciiu_root
"Agricultura, ganadería, caza y actividades de servicios conexas ",ciiu_01,01,ciiu_A
Cultivos agrícolas transitorios ,ciiu_011,011,ciiu_01
"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",ciiu_0111,0111,ciiu_011
Cultivo de arroz ,ciiu_0112,0112,ciiu_011
"Cultivo de hortalizas, raíces y tubérculos ",ciiu_0113,0113,ciiu_011
Cultivo de tabaco ,ciiu_0114,0114,ciiu_011
Cultivo de plantas textiles ,ciiu_0115,0115,ciiu_011
Otros cultivos transitorios n.c.p.,ciiu_0119,0119,ciiu_011
Cultivos agrícolas permanentes ,ciiu_012,012,ciiu_01
Cultivo de frutas tropicales y subtropicales,ciiu_0121,0121,ciiu_012
Cultivo de plátano y banano,ciiu_0122,0122,ciiu_012
Cultivo de café,ciiu_0123,0123,ciiu_012
Cultivo de caña de azúcar,ciiu_0124,0124,ciiu_012
Cultivo de flor de corte,ciiu_0125,0125,ciiu_012
Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,ciiu_0126,0126,ciiu_012
Cultivo de plantas con las que se preparan bebidas,ciiu_0127,0127,ciiu_012
Cultivo de especias y de plantas aromáticas y medicinales ,ciiu_0128,0128,ciiu_012
Otros cultivos permanentes n.c.p.,ciiu_0129,0129,ciiu_012
"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",ciiu_013,013,ciiu_01
Ganadería ,ciiu_014,014,ciiu_01
Cría de ganado bovino y bufalino,ciiu_0141,0141,ciiu_014
Cría de caballos y otros equinos ,ciiu_0142,0142,ciiu_014
Cría de ovejas y cabras ,ciiu_0143,0143,ciiu_014
Cría de ganado porcino,ciiu_0144,0144,ciiu_014
Cría de aves de corral,ciiu_0145,0145,ciiu_014
Cría de otros animales n.c.p.,ciiu_0149,0149,ciiu_014
Explotación mixta (agrícola y pecuaria) ,ciiu_015,015,ciiu_01
"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",ciiu_016,016,ciiu_01
Actividades de apoyo a la agricultura ,ciiu_0161,0161,ciiu_016
Actividades de apoyo a la ganadería,ciiu_0162,0162,ciiu_016
Actividades posteriores a la cosecha ,ciiu_0163,0163,ciiu_016
Tratamiento de semillas para propagación ,ciiu_0164,0164,ciiu_016
Caza ordinaria y mediante trampas y actividades de servicios conexas ,ciiu_017,017,ciiu_01
Silvicultura y extracción de madera,ciiu_02,02,ciiu_A
Silvicultura y otras actividades forestales,ciiu_021,021,ciiu_02
Extracción de madera ,ciiu_022,022,ciiu_02
Recolección de productos forestales diferentes a la madera,ciiu_023,023,ciiu_02
Servicios de apoyo a la silvicultura ,ciiu_024,024,ciiu_02
Pesca y acuicultura,ciiu_03,03,ciiu_A
Pesca ,ciiu_031,031,ciiu_03
Pesca marítima ,ciiu_0311,0311,ciiu_031
Pesca de agua dulce ,ciiu_0312,0312,ciiu_031
Acuicultura ,ciiu_032,032,ciiu_03
Acuicultura marítima ,ciiu_0321,0321,ciiu_032
Acuicultura de agua dulce,ciiu_0322,0322,ciiu_032
EXPLOTACIÓN DE MINAS Y CANTERAS,ciiu_B,B,ciiu_root
Extracción de carbón de piedra y lignito,ciiu_05,05,ciiu_B
Extracción de hulla (carbón de piedra),ciiu_051,051,ciiu_05
Extracción de carbón lignito,ciiu_052,052,ciiu_05
Extracción de petróleo crudo y gas natural,ciiu_06,06,ciiu_B
Extracción de petróleo crudo,ciiu_061,061,ciiu_06
Extracción de gas natural,ciiu_062,062,ciiu_06
Extracción de minerales metalíferos,ciiu_07,07,ciiu_B
Extracción de minerales de hierro,ciiu_071,071,ciiu_07
Extracción de minerales metalíferos no ferrosos,ciiu_072,072,ciiu_07
Extracción de minerales de uranio y de torio,ciiu_0721,0721,ciiu_072
Extracción de oro y otros metales preciosos,ciiu_0722,0722,ciiu_072
Extracción de minerales de níquel,ciiu_0723,0723,ciiu_072
Extracción de otros minerales metalíferos no ferrosos n.c.p.,ciiu_0729,0729,ciiu_072
Extracción de otras minas y canteras,ciiu_08,08,ciiu_B
"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares",ciiu_081,081,ciiu_08
"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",ciiu_0811,0811,ciiu_081
"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",ciiu_0812,0812,ciiu_081
"Extracción de esmeraldas, piedras preciosas y semipreciosas",ciiu_082,082,ciiu_08
Extracción de otros minerales no metálicos n.c.p.,ciiu_089,089,ciiu_08
Extracción de minerales para la fabricación de abonos y productos químicos,ciiu_0891,0891,ciiu_089
Extracción de halita (sal),ciiu_0892,0892,ciiu_089
Extracción de otros minerales no metálicos n.c.p.,ciiu_0899,0899,ciiu_089
Actividades de servicios de apoyo para la explotación de minas ,ciiu_09,09,ciiu_B
Actividades de apoyo para la extracción de petróleo y de gas natural,ciiu_091,091,ciiu_09
Actividades de apoyo para otras actividades de explotación de minas y canteras,ciiu_099,099,ciiu_09
INDUSTRIAS MANUFACTURERAS,ciiu_C,C,ciiu_root
Elaboración de productos alimenticios,ciiu_10,10,ciiu_C
"Procesamiento y conservación de carne, pescado, crustáceos y moluscos ",ciiu_101,101,ciiu_10
Procesamiento y conservación de carne y productos cárnicos,ciiu_1011,1011,ciiu_101
"Procesamiento y conservación de pescados, crustáceos y moluscos",ciiu_1012,1012,ciiu_101
"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",ciiu_102,102,ciiu_10
Elaboración de aceites y grasas de origen vegetal y animal,ciiu_103,103,ciiu_10
Elaboración de productos lácteos,ciiu_104,104,ciiu_10
"Elaboración de productos de molinería, almidones y productos derivados del almidón",ciiu_105,105,ciiu_10
Elaboración de productos de molinería,ciiu_1051,1051,ciiu_105
Elaboración de almidones y productos derivados del almidón,ciiu_1052,1052,ciiu_105
Elaboración de productos de café,ciiu_106,106,ciiu_10
Trilla de café,ciiu_1061,1061,ciiu_106
"Descafeinado, tostión y molienda del café",ciiu_1062,1062,ciiu_106
Otros derivados del café,ciiu_1063,1063,ciiu_106
Elaboración de azúcar y panela,ciiu_107,107,ciiu_10
Elaboración y refinación de azúcar,ciiu_1071,1071,ciiu_107
Elaboración de panela,ciiu_1072,1072,ciiu_107
Elaboración de otros productos alimenticios,ciiu_108,108,ciiu_10
Elaboración de productos de panadería,ciiu_1081,1081,ciiu_108
"Elaboración de cacao, chocolate y productos de confitería",ciiu_1082,1082,ciiu_108
"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",ciiu_1083,1083,ciiu_108
Elaboración de comidas y platos preparados,ciiu_1084,1084,ciiu_108
Elaboración de otros productos alimenticios n.c.p.,ciiu_1089,1089,ciiu_108
Elaboración de alimentos preparados para animales,ciiu_109,109,ciiu_10
Elaboración de bebidas,ciiu_11,11,ciiu_C
Elaboración de bebidas,ciiu_110,110,ciiu_11
"Destilación, rectificación y mezcla de bebidas alcohólicas",ciiu_1101,1101,ciiu_110
Elaboración de bebidas fermentadas no destiladas,ciiu_1102,1102,ciiu_110
"Producción de malta, elaboración de cervezas y otras bebidas malteadas",ciiu_1103,1103,ciiu_110
"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",ciiu_1104,1104,ciiu_110
Elaboración de productos de tabaco,ciiu_12,12,ciiu_C
Elaboración de productos de tabaco,ciiu_120,120,ciiu_12
Fabricación de productos textiles,ciiu_13,13,ciiu_C
"Preparación, hilatura, tejeduría y acabado de productos textiles",ciiu_131,131,ciiu_13
Preparación e hilatura de fibras textiles,ciiu_1311,1311,ciiu_131
Tejeduría de productos textiles,ciiu_1312,1312,ciiu_131
Acabado de productos textiles,ciiu_1313,1313,ciiu_131
Fabricación de otros productos textiles,ciiu_139,139,ciiu_13
Fabricación de tejidos de punto y ganchillo,ciiu_1391,1391,ciiu_139
"Confección de artículos con materiales textiles, excepto prendas de vestir",ciiu_1392,1392,ciiu_139
Fabricación de tapetes y alfombras para pisos,ciiu_1393,1393,ciiu_139
"Fabricación de cuerdas, cordeles, cables, bramantes y redes",ciiu_1394,1394,ciiu_139
Fabricación de otros artículos textiles n.c.p.,ciiu_1399,1399,ciiu_139
Confección de prendas de vestir,ciiu_14,14,ciiu_C
"Confección de prendas de vestir, excepto prendas de piel",ciiu_141,141,ciiu_14
Fabricación de artículos de piel,ciiu_142,142,ciiu_14
Fabricación de artículos de punto y ganchillo,ciiu_143,143,ciiu_14
"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles",ciiu_15,15,ciiu_C
